cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
-43.02,-43.02,-43.02,1,-378,-192.06,-192.06,-192.06,1,"-1,018.26",-41.04,-41.04,-41.04,1,-131.04,-114.12,-114.12,-114.12,High Estimate,-192.06,A
0.43,0.52,0.37,3,0.24,1.8,1.95,1.66,2,2.01,0.43,0.43,0.42,3,0.89,1.92,2.44,1.18,High Estimate,1.8,A
0.75,0.83,0.62,3,--,2.7,3.01,2.32,4,--,0.73,0.84,0.63,3,--,4.19,4.56,3.96,High Estimate,2.7,A
0.14,0.15,0.13,9,0.16,0.54,0.61,0.52,10,0.63,0.2,0.22,0.19,9,0.2,0.65,0.78,0.57,High Estimate,0.54,A
0.18,0.24,0.13,5,-0.01,0.69,0.88,0.52,5,1.59,0.2,0.27,0.14,5,0,0.75,0.86,0.67,High Estimate,0.69,A
0.79,1,0.71,14,0.81,1.69,2,1.51,14,1.58,0.39,0.5,0.32,14,0.31,2.28,2.72,1.91,High Estimate,1.69,A
-0.27,-0.27,-0.27,4,-0.17,-0.92,-0.9,-0.95,4,-1.05,-0.24,-0.23,-0.25,4,-0.33,-0.65,-0.6,-0.74,High Estimate,-0.92,A
-0.1,-0.1,-0.1,1,1.59,-0.19,-0.19,-0.19,1,1.36,-0.01,-0.01,-0.01,1,-0.2,-0.01,-0.01,-0.01,High Estimate,-0.19,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
-0.01,0.03,-0.06,2,-8.1,1.11,1.47,0.85,3,-11.84,0.32,0.5,0.19,3,-0.19,-0.31,0.45,-0.87,High Estimate,1.11,A
0.27,0.3,0.2,6,0.28,1.01,1.11,0.85,6,1,0.28,0.31,0.23,6,0.26,1.18,1.27,1.08,High Estimate,1.01,A
0.86,0.95,0.82,14,0.91,3.57,3.76,3.45,16,3.61,0.89,1,0.82,14,0.81,3.93,4.3,3.47,High Estimate,3.57,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0.86,1.31,0.48,30,0.55,3.55,4.53,2.5,38,1.8,0.9,1.43,0.52,30,0.45,4.57,6.44,3.15,High Estimate,3.55,A
1.33,1.39,1.29,3,1.32,5.32,5.47,5.25,3,5.03,1.3,1.37,1.27,3,1.15,5.12,5.46,4.9,High Estimate,5.32,A
-0.32,-0.2,-0.44,2,--,-0.99,-0.16,-1.84,3,-4.83,-0.32,-0.2,-0.45,2,-1.36,-0.65,-0.07,-1.28,High Estimate,-0.99,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
1.21,1.81,0.89,8,0.75,4.52,5.16,3.89,8,1.53,0.89,1.13,0.3,7,1.36,5.43,6.55,4.22,High Estimate,4.52,A
0.37,0.39,0.36,6,0.34,1.48,1.53,1.46,6,1.35,0.37,0.4,0.36,6,0.36,1.58,1.67,1.52,High Estimate,1.48,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,-5.2,0,0,0,--,--,0,0,0,--,-7.8,0,0,0,High Estimate,--,A
-0.39,-0.2,-0.58,2,--,-2.43,-1.6,-3.26,2,-1.78,-0.39,-0.2,-0.59,2,--,3.42,3.86,2.97,High Estimate,-2.43,A
0.07,0.09,0.05,4,0.14,0.29,0.39,0.16,4,-0.16,0.13,0.18,0.11,4,-0.17,0.54,0.56,0.52,High Estimate,0.29,A
3.28,3.3,3.26,10,2.74,13.08,14.1,12.94,9,10.38,3.23,3.32,3.08,10,2.94,15.09,16.7,14.44,High Estimate,13.08,A
-0.01,-0.01,-0.02,2,0.17,-0.01,-0.01,-0.02,2,0.12,0,0.01,0,2,0.18,0.11,0.17,0.05,High Estimate,-0.01,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.23,0.25,0.22,15,0.2,0.84,0.9,0.81,15,1.37,0.29,0.35,0.26,14,0.15,1.45,1.98,1.22,High Estimate,0.84,A
-0.07,-0.07,-0.07,2,--,-0.28,-0.28,-0.28,2,--,-0.07,-0.07,-0.07,2,--,-0.3,-0.29,-0.31,High Estimate,-0.28,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
7.65,9.1,6.67,14,3.43,34.33,43.89,27,15,22.09,8.23,10.03,6.6,14,5.59,43.54,56.87,28.2,High Estimate,34.33,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,-0.53,-3.98,-3.98,-3.98,1,-1.51,0,0,0,--,-0.37,-3.03,-3.03,-3.03,High Estimate,-3.98,A
0.62,0.72,0.53,9,0.65,2.88,3,2.65,9,2.11,0.75,0.86,0.68,9,0.61,3.15,3.5,2.8,High Estimate,2.88,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0.85,0.89,0.8,8,0.63,3.48,3.58,3.33,8,2.27,1.02,1.1,0.93,8,0.93,4.74,5.23,4.5,High Estimate,3.48,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
1.18,1.28,1.05,6,1.55,10.61,10.94,10.15,5,10.37,0.62,0.81,0.44,6,0.24,11.76,12.9,10.5,High Estimate,10.61,A
0.89,0.93,0.82,9,0.88,2.64,2.7,2.6,9,2.45,0.52,0.56,0.46,9,0.61,3.01,3.26,2.84,High Estimate,2.64,A
0,0,0,1,--,0.01,0.01,0.01,1,0,0,0,0,1,0,0.04,0.04,0.04,High Estimate,0.01,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.18,0.29,0.12,3,0.19,0.43,0.44,0.4,3,0.54,0.13,0.2,0.04,3,-0.03,0.95,1.19,0.78,High Estimate,0.43,A
0.2,0.25,0.16,3,-0.43,0.55,0.61,0.5,3,-0.35,0.2,0.22,0.16,3,0.45,1.93,2.51,1.62,High Estimate,0.55,A
0.35,0.37,0.34,2,-0.19,1.29,1.31,1.28,2,0.42,0.35,0.36,0.35,2,0.32,1.48,1.5,1.46,High Estimate,1.29,A
0.76,0.8,0.73,12,0.65,3.39,3.47,3.34,12,2.84,0.57,0.62,0.52,12,0.49,3.72,3.85,3.6,High Estimate,3.39,A
0.83,0.85,0.82,2,--,4.82,4.89,4.76,2,--,1.15,1.21,1.09,2,--,7.03,7.07,7,High Estimate,4.82,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,-4.8,0,0,0,--,--,0,0,0,--,-5,0,0,0,High Estimate,--,A
-0.04,-0.02,-0.06,2,0.01,-0.11,-0.02,-0.2,2,-0.22,-0.06,-0.01,-0.12,2,-0.14,0.01,0.01,0.01,High Estimate,-0.11,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,0,0,0,0,--,--,0,0,0,--,-0.25,0,0,0,High Estimate,--,A
0,0,0,--,-10.9,0,0,0,--,--,0,0,0,--,-11.1,0,0,0,High Estimate,--,A
-2.29,-2.29,-2.29,1,-2.2,1.52,1.52,1.52,1,0.94,2.61,2.61,2.61,1,2.45,3.24,3.24,3.24,High Estimate,1.52,A
-0.4,-0.35,-0.43,5,-0.36,-1.46,-1.25,-1.58,5,-1.42,-0.38,-0.31,-0.43,5,-0.41,-0.78,-0.45,-1.26,High Estimate,-1.46,A
0,0,0,--,0.05,0,0,0,--,--,0,0,0,--,0.01,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.73,0.75,0.72,3,0.6,3,3.06,2.96,3,2.82,0.74,0.79,0.72,3,0.57,2.99,3.09,2.92,High Estimate,3,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.1,-0.1,-0.1,1,-0.13,-0.51,-0.51,-0.51,1,-0.43,0,0,0,--,-0.14,-0.22,-0.22,-0.22,High Estimate,-0.51,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.33,-0.23,-0.42,8,-0.25,-1.19,-1.09,-1.27,8,-1.01,-0.32,-0.24,-0.42,5,-0.28,-0.95,0.56,-1.83,High Estimate,-1.19,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.2,1.3,-1.08,20,-4.92,-1.11,2.5,-3.43,20,-7.41,-0.3,0.93,-0.96,21,-1.6,-0.81,4.19,-3.53,High Estimate,-1.11,A
0,0,0,--,-1.5,-1.61,-1.61,-1.61,1,-10.11,-0.96,-0.96,-0.96,1,-2.3,0,0,0,High Estimate,-1.61,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.53,0.6,0.5,21,0.5,2.19,2.38,2.15,23,1.52,0.54,0.62,0.51,21,0.72,2.36,2.74,2.19,High Estimate,2.19,A
0.54,0.57,0.52,7,0.41,1.41,1.46,1.37,7,0.94,0.7,0.74,0.68,7,0.59,1.79,2.13,1.61,High Estimate,1.41,A
-0.88,-0.77,-0.99,7,-0.45,-2.34,-2.2,-2.69,7,-2.23,-0.92,-0.81,-1.18,7,-0.67,-3.4,-2.82,-4.09,High Estimate,-2.34,A
-1.07,-0.55,-2.27,6,-2.1,-7.57,-5.1,-15.03,6,-49.8,-0.91,-0.28,-2.4,7,-1.8,-3.6,-0.77,-6.97,High Estimate,-7.57,A
-0.19,-0.09,-0.37,4,-0.99,-0.67,-0.28,-1.12,4,-12.09,-0.12,-0.01,-0.18,4,-7.81,-0.05,0.4,-0.5,High Estimate,-0.67,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.08,0.11,0.06,13,0,0.28,0.33,0.23,14,-0.07,0.1,0.13,0.06,13,0,0.57,0.7,0.44,High Estimate,0.28,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.1,-0.09,-0.1,3,-0.13,-0.41,-0.39,-0.44,3,-0.57,-0.09,-0.08,-0.1,3,-0.17,-0.34,-0.3,-0.37,High Estimate,-0.41,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
