cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
1.11,1.12,1.09,13,0.99,4.25,4.31,4.2,15,3.78,1.16,1.2,1.13,13,0.99,4.79,5,4.64,High Estimate,4.25,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.27,-0.01,-0.56,3,-0.59,-1.89,-1.06,-2.72,3,-4.04,-0.61,-0.48,-0.68,3,-0.6,-1.32,-0.97,-1.53,High Estimate,-1.89,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.08,-0.08,-0.08,1,-0.09,-0.25,-0.25,-0.25,1,-0.62,-0.07,-0.07,-0.07,1,-0.15,0.1,0.1,0.1,High Estimate,-0.25,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,-3.4,0,0,0,High Estimate,--,A
-0.11,-0.09,-0.12,6,-0.14,-0.4,-0.34,-0.44,6,-0.45,-0.09,-0.06,-0.12,6,-0.09,-0.2,-0.08,-0.4,High Estimate,-0.4,A
-0.08,-0.08,-0.08,1,--,-0.37,-0.37,-0.37,1,--,-0.11,-0.11,-0.11,1,-0.04,-0.25,-0.25,-0.25,High Estimate,-0.37,A
0,0,0,--,-0.75,0,0,0,--,--,0,0,0,--,-19,0,0,0,High Estimate,--,A
1.09,1.75,0.4,13,0.99,5.76,6.61,4.73,11,4.1,1.52,2.22,0.74,13,1.91,5.67,8.12,3.77,High Estimate,5.76,A
-0.01,0.02,-0.04,4,-0.08,-0.07,-0.03,-0.13,4,-0.35,-0.01,0,-0.03,4,-0.09,0.08,0.32,-0.09,High Estimate,-0.07,A
-0.27,-0.24,-0.31,4,-0.51,-1,-0.85,-1.08,4,-1.82,-0.26,-0.21,-0.28,4,-0.5,-0.74,-0.39,-1.12,High Estimate,-1,A
2.09,2.19,1.88,7,2.04,8.69,8.8,8.5,7,8.27,1.93,2.03,1.82,7,1.97,9.03,9.25,8.72,High Estimate,8.69,A
-0.97,-0.78,-1.2,10,-0.4,-3.97,-3.58,-4.41,10,-2.08,-0.86,-0.5,-1.12,9,-0.31,-3.52,-1.39,-5.21,High Estimate,-3.97,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
4.72,5.1,4.5,9,4.35,13.91,15.53,13.35,10,13.67,2.32,2.61,2.14,8,2.06,15.69,17.85,14.75,High Estimate,13.91,A
1.5,1.57,1.46,9,2.16,6.51,7.34,6.35,10,8.08,1.84,1.91,1.8,9,1.83,7.8,8.99,6.81,High Estimate,6.51,A
0.53,0.57,0.51,7,0.59,2.12,2.19,2.08,7,2.56,0.54,0.58,0.53,7,0.55,3.19,3.25,3.05,High Estimate,2.12,A
-0.09,-0.02,-0.16,2,0.01,-0.29,-0.2,-0.39,2,0.11,-0.01,0.03,-0.06,2,0,-0.24,-0.21,-0.27,High Estimate,-0.29,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.95,1,0.9,11,0.9,4.1,4.52,3.95,13,3.28,1.03,1.17,0.92,10,0.97,4.3,4.55,4.05,High Estimate,4.1,A
1.99,1.99,1.99,1,2.71,13.34,13.34,13.34,1,13.19,2.11,2.11,2.11,1,2.84,16.1,16.1,16.1,High Estimate,13.34,A
0,0,0,--,--,5.63,5.63,5.63,1,5.83,0,0,0,--,--,5.47,5.47,5.47,High Estimate,5.63,A
0.74,0.8,0.67,4,2.06,3,3.2,2.69,4,2.84,0.65,0.73,0.54,4,0.78,3.25,3.5,2.95,High Estimate,3,A
0.45,0.59,0.35,9,0.46,1.22,1.99,0.67,7,1.69,0.55,0.68,0.24,9,0.44,2.24,2.59,1.9,High Estimate,1.22,A
-0.02,0.01,-0.07,13,0.06,-0.05,0.02,-0.17,13,0.09,-0.04,0,-0.09,13,-0.05,0.07,0.27,-0.11,High Estimate,-0.05,A
0.31,0.31,0.31,1,0.35,1.3,1.3,1.3,1,1.46,0.33,0.33,0.33,1,0.29,1.5,1.5,1.5,High Estimate,1.3,A
0.98,1.01,0.94,9,1.09,4.51,4.56,4.42,10,4.38,1.23,1.28,1.16,9,1.18,5.1,5.25,4.98,High Estimate,4.51,A
0.23,0.24,0.22,2,1.16,1.51,1.53,1.49,2,4.83,0.24,0.24,0.23,2,1.09,1.75,1.75,1.75,High Estimate,1.51,A
-0.52,-0.46,-0.6,6,-0.77,-2.21,-1.91,-2.45,6,-2.9,-0.52,-0.45,-0.59,6,-0.68,-1.21,-0.37,-1.99,High Estimate,-2.21,A
0.4,0.42,0.39,2,0.37,1.61,1.69,1.54,2,1.54,0.36,0.45,0.27,2,0.41,2.02,2.27,1.77,High Estimate,1.61,A
0.32,0.37,0.25,9,0.34,1.33,1.66,0.94,3,1.05,0.43,0.54,0.37,4,0.33,1.49,1.76,1.21,High Estimate,1.33,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.51,0.55,0.47,2,0.37,1.97,2.1,1.84,2,1.75,0.57,0.6,0.55,2,0.8,2.17,2.35,2,High Estimate,1.97,A
-1.44,-1.4,-1.53,3,-2.4,-5.57,-4.9,-6,3,-12,-1.23,-0.9,-1.4,3,-2.8,-3.6,-0.8,-5,High Estimate,-5.57,A
0.23,0.24,0.22,10,-0.65,0.97,1.01,0.94,10,-0.42,0.35,0.37,0.33,10,0.3,1.37,1.7,1.08,High Estimate,0.97,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,0.01,0,0,0,--,--,0,0,0,--,-0.02,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.04,0.06,0.02,8,0.04,0.21,0.27,0.15,8,0.04,0.05,0.06,0.03,8,0.07,0.28,0.35,0.22,High Estimate,0.21,A
3.19,3.52,2.82,7,5.45,11.68,12.15,10.8,7,16.16,4.11,4.6,3.33,7,3.85,12.53,14.5,11.05,High Estimate,11.68,A
1.89,1.98,1.78,17,1.63,7.29,7.46,7.07,17,6.19,1.82,1.96,1.7,17,1.74,8.01,8.65,7.66,High Estimate,7.29,A
0.94,1.04,0.87,21,0.69,3.76,4.01,3.6,24,2.48,0.91,1.15,0.81,21,0.64,4.59,5.15,4.23,High Estimate,3.76,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
4.46,4.52,4.42,15,4.05,16.17,16.3,16.05,15,14.81,4.36,4.5,4.24,15,3.82,18.51,19.31,17.81,High Estimate,16.17,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0,0,0,--,0.09,0,0,0,--,--,0,0,0,--,0.44,0,0,0,High Estimate,--,A
1.71,1.82,1.61,20,-1.76,8.22,11.83,6.92,23,-0.2,2.09,2.78,1.75,20,-0.69,8.85,13.45,1.96,High Estimate,8.22,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
